Function                                                                                                                                                                                                                                                          CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module                   Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Source File       Start Address     
solve_pme_yzx                                                                                                                                                                                                                                                      53.429s                  53.429s                            0s                            0s                     53.429s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  solve_pme_yzx(gmx_pme_t const*, t_complex*, float, int, int, int)                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x2145c0          
copy_rvec_to_nbat_real                                                                                                                                                                                                                                             42.378s                  42.378s                            0s                            0s                     42.378s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  copy_rvec_to_nbat_real(int const*, int, int, float const (*)[3], int, float*, int)                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]         0xf6e790          
dd_move_f                                                                                                                                                                                                                                                          37.955s                  37.955s                            0s                        0.090s                     37.865s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  dd_move_f(gmx_domdec_t*, float (*)[3], float (*)[3])                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]         0x1c0a60          
dd_move_x                                                                                                                                                                                                                                                          35.785s                  35.785s                            0s                            0s                     35.785s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  dd_move_x(gmx_domdec_t*, float (*)[3], float (*)[3])                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]         0x1bf4f0          
do_pairs                                                                                                                                                                                                                                                           34.814s                  34.814s                            0s                        0.090s                     34.724s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  do_pairs(int, int, int const*, t_iparams const*, float const (*)[3], float (*)[4], float (*)[3], t_pbc const*, t_graph const*, float const*, float*, t_mdatoms const*, t_forcerec const*, int, gmx_grppairener_t*, int*)                                                                                                                                                                                                                                                                       [Unknown]         0x1801d0          
settleTemplate<gmx::SimdFloat, gmx::SimdFBool, (int)8, float const*, (bool)1, (bool)0>.isra.4                                                                                                                                                                      33.819s                  33.819s                            0s                        0.010s                     33.809s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  void settleTemplate<gmx::SimdFloat, gmx::SimdFBool, (int)8, float const*, (bool)1, (bool)0>(gmx_settledata*, int, int, float const*, float const*, float*, float, float*, float (*)[3], bool*).isra.4                                                                                                                                                                                                                                                                                          [Unknown]         0xeff600          
__memset_sse2                                                                                                                                                                                                                                                      31.176s                  31.176s                        0.100s                        0.370s                     30.706s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-2.17.so             __memset_sse2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [Unknown]         0x88e40           
spread_on_grid._omp_fn.0                                                                                                                                                                                                                                           29.319s                  29.319s                            0s                            0s                     29.319s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  spread_on_grid._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]         0x21f180          
urey_bradley_noener_simd                                                                                                                                                                                                                                           28.092s                  28.092s                            0s                        0.010s                     28.082s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  urey_bradley_noener_simd(int, int const*, t_iparams const*, float const (*)[3], float (*)[4], t_pbc const*, t_graph const*, float, t_mdatoms const*, t_fcdata*, int*)                                                                                                                                                                                                                                                                                                                          [Unknown]         0x169db0          
nbnxn_atomdata_add_nbat_f_to_f._omp_fn.1                                                                                                                                                                                                                           26.352s                  26.352s                            0s                        0.010s                     26.342s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  nbnxn_atomdata_add_nbat_f_to_f._omp_fn.1                                                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]         0xf6d4f0          
dih_angle_simd                                                                                                                                                                                                                                                     26.295s                  26.295s                            0s                        0.040s                     26.255s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  dih_angle_simd(float const (*)[3], int const*, int const*, int const*, int const*, float const*, gmx::SimdFloat*, gmx::SimdFloat*, gmx::SimdFloat*, gmx::SimdFloat*, gmx::SimdFloat*, gmx::SimdFloat*, gmx::SimdFloat*, gmx::SimdFloat*, gmx::SimdFloat*, gmx::SimdFloat*, gmx::SimdFloat*)                                                                                                                                                                                                    [Unknown]         0x163c60          
pdihs_noener_simd                                                                                                                                                                                                                                                  26.197s                  26.197s                            0s                        0.060s                     26.137s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  pdihs_noener_simd(int, int const*, t_iparams const*, float const (*)[3], float (*)[4], t_pbc const*, t_graph const*, float, t_mdatoms const*, t_fcdata*, int*)                                                                                                                                                                                                                                                                                                                                 [Unknown]         0x16c630          
hc2cfdftv_16                                                                                                                                                                                                                                                       24.126s                  24.126s                            0s                            0s                     24.126s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  hc2cfdftv_16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [Unknown]         0x13306f0         
n1bv_13                                                                                                                                                                                                                                                            23.958s                  23.958s                            0s                        0.010s                     23.948s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  n1bv_13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]         0x1205d50         
hc2cbdftv_16                                                                                                                                                                                                                                                       23.820s                  23.820s                            0s                        0.030s                     23.790s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  hc2cbdftv_16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [Unknown]         0x132c7c0         
n1fv_13                                                                                                                                                                                                                                                            22.866s                  22.866s                            0s                            0s                     22.866s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  n1fv_13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]         0x12150b0         
update_coords._omp_fn.3                                                                                                                                                                                                                                            22.785s                  22.785s                            0s                        0.040s                     22.745s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  update_coords._omp_fn.3                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]         0xfd05d0          
do_redist_pos_coeffs                                                                                                                                                                                                                                               20.331s                  20.331s                            0s                            0s                     20.331s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  do_redist_pos_coeffs(gmx_pme_t*, t_commrec*, int, int, int, float (*)[3], float*)                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x212690          
copy_pmegrid_to_fftgrid                                                                                                                                                                                                                                            18.913s                  18.913s                            0s                            0s                     18.913s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  copy_pmegrid_to_fftgrid(gmx_pme_t const*, float*, float*, int)                                                                                                                                                                                                                                                                                                                                                                                                                                 [Unknown]         0x203530          
gmx_sum_qgrid_dd                                                                                                                                                                                                                                                   17.531s                  17.531s                            0s                            0s                     17.531s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  gmx_sum_qgrid_dd(gmx_pme_t*, float*, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                      [Unknown]         0x201b80          
t2fv_20                                                                                                                                                                                                                                                            17.397s                  17.397s                            0s                            0s                     17.397s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  t2fv_20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]         0x13121e0         
