Function                                                                                                                                                                                                                                                                                                                                                                                                                                                                         CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module                   Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Source File       Start Address     
dd_partition_system                                                                                                                                                                                                                                                                                                                                                                                                                                                                5.513s                   5.513s                            0s                        0.011s                      5.502s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  dd_partition_system(_IO_FILE*, long, t_commrec*, int, int, t_state*, gmx_mtop_t const*, t_inputrec const*, t_state*, std::vector<gmx::BasicVector<float>, gmx::Allocator<gmx::BasicVector<float>, gmx::AlignedAllocationPolicy>>*, gmx::MDAtoms*, gmx_localtop_t*, t_forcerec*, gmx_vsite_t*, gmx_constr*, t_nrnb*, gmx_wallcycle*, int)                                                                                                                                                                                                                                                                                                            [Unknown]         0x1d1e50          
t2fv_8                                                                                                                                                                                                                                                                                                                                                                                                                                                                             5.395s                   5.395s                            0s                            0s                      5.395s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  t2fv_8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x1254610         
apply                                                                                                                                                                                                                                                                                                                                                                                                                                                                              5.149s                   5.149s                            0s                            0s                      5.149s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  apply                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]         0x133c410         
nbnxn_atomdata_copy_x_to_nbat_x._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                                                                          5.032s                   5.032s                            0s                            0s                      5.032s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  nbnxn_atomdata_copy_x_to_nbat_x._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]         0xf6f9b0          
sum_forces._omp_fn.3                                                                                                                                                                                                                                                                                                                                                                                                                                                               4.958s                   4.958s                            0s                            0s                      4.958s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  sum_forces._omp_fn.3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [Unknown]         0xfb3960          
atoms2md._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                 4.262s                   4.262s                            0s                            0s                      4.262s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  atoms2md._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [Unknown]         0xf42ca0          
sort_atoms.isra.4.constprop.10                                                                                                                                                                                                                                                                                                                                                                                                                                                     4.241s                   4.241s                            0s                            0s                      4.241s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  sort_atoms(int, int, int, int*, int, float (*)[3], float, float, int, int*).isra.4.constprop.10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [Unknown]         0xf75890          
PMPI_Gatherv                                                                                                                                                                                                                                                                                                                                                                                                                                                                       3.059s                   3.059s                            0s                            0s                      3.059s                             0s                            0s                  0s                      0s  libmpi_mt.so             PMPI_Gatherv                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        gatherv.c         0xac2f0           
apply_r2hc                                                                                                                                                                                                                                                                                                                                                                                                                                                                         2.809s                   2.809s                            0s                            0s                      2.809s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  apply_r2hc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          [Unknown]         0x13403e0         
dd_redistribute_cg._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                                                                                       2.648s                   2.648s                            0s                            0s                      2.648s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  dd_redistribute_cg._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]         0x1bd160          
apply_dit                                                                                                                                                                                                                                                                                                                                                                                                                                                                          2.588s                   2.588s                            0s                            0s                      2.588s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  apply_dit                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]         0x13385b0         
check_cell_list_space_simple                                                                                                                                                                                                                                                                                                                                                                                                                                                       2.506s                   2.506s                            0s                            0s                      2.506s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  check_cell_list_space_simple(nbnxn_pairlist_t*, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [Unknown]         0xf7bd50          
setup_dd_communication._omp_fn.1                                                                                                                                                                                                                                                                                                                                                                                                                                                   2.448s                   2.448s                            0s                            0s                      2.448s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  setup_dd_communication._omp_fn.1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    [Unknown]         0x1b16c0          
order_vec_atom                                                                                                                                                                                                                                                                                                                                                                                                                                                                     2.419s                   2.419s                            0s                            0s                      2.419s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  order_vec_atom(int, int const*, gmx_cgsort_t const*, float (*)[3], float (*)[3])                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    [Unknown]         0x1a5020          
erfcf                                                                                                                                                                                                                                                                                                                                                                                                                                                                              2.388s                   2.388s                            0s                            0s                      2.388s                             0s                            0s                  0s                      0s  libm-2.17.so             erfcf                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]         0x30310           
apply                                                                                                                                                                                                                                                                                                                                                                                                                                                                              2.239s                   2.239s                            0s                            0s                      2.239s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  apply                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]         0x111c950         
apply_dif_dft                                                                                                                                                                                                                                                                                                                                                                                                                                                                      2.170s                   2.170s                            0s                            0s                      2.170s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  apply_dif_dft                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]         0x133eed0         
idihs                                                                                                                                                                                                                                                                                                                                                                                                                                                                              2.096s                   2.096s                            0s                            0s                      2.096s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  idihs(int, int const*, t_iparams const*, float const (*)[3], float (*)[4], float (*)[3], t_pbc const*, t_graph const*, float, float*, t_mdatoms const*, t_fcdata*, int*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [Unknown]         0x16dcd0          
PMPI_Isend                                                                                                                                                                                                                                                                                                                                                                                                                                                                         2.040s                   2.040s                            0s                            0s                      2.040s                             0s                            0s                  0s                      0s  libmpi_mt.so             PMPI_Isend                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          isend.c           0xd6cb0           
atoms_to_constraints                                                                                                                                                                                                                                                                                                                                                                                                                                                               1.987s                   1.987s                            0s                            0s                      1.987s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  atoms_to_constraints(gmx_domdec_t*, gmx_mtop_t const*, int const*, t_blocka const*, int, t_ilist*, ind_req_t*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [Unknown]         0x1db260          
__memcpy_ssse3_back                                                                                                                                                                                                                                                                                                                                                                                                                                                                1.980s                   1.980s                            0s                            0s                      1.980s                             0s                            0s                  0s                      0s  libc-2.17.so             __memcpy_ssse3_back                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 [Unknown]         0x147ca0          
sort_cluster_on_flag                                                                                                                                                                                                                                                                                                                                                                                                                                                               1.951s                   1.951s                            0s                            0s                      1.951s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  sort_cluster_on_flag(int, int, int, int const*, int*, int*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         [Unknown]         0xf74af0          
apply                                                                                                                                                                                                                                                                                                                                                                                                                                                                              1.918s                   1.918s                            0s                            0s                      1.918s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  apply                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]         0x10e4500         
dd_sort_state                                                                                                                                                                                                                                                                                                                                                                                                                                                                      1.887s                   1.887s                            0s                            0s                      1.887s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  dd_sort_state(gmx_domdec_t*, float (*)[3], t_forcerec*, t_state*, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x1b4db0          
[Import thunk pbc_dx_aiuc]                                                                                                                                                                                                                                                                                                                                                                                                                                                         1.859s                   1.859s                            0s                            0s                      1.859s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  [Import thunk pbc_dx_aiuc(t_pbc const*, float const*, float const*, float*)]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]         0x156fd0          
energyDriftAtomPair                                                                                                                                                                                                                                                                                                                                                                                                                                                                1.641s                   1.641s                            0s                            0s                      1.641s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  energyDriftAtomPair(bool, bool, float, float, float, float, pot_derivatives_t const*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]         0xedc070          
PMPI_Scatter                                                                                                                                                                                                                                                                                                                                                                                                                                                                       1.637s                   1.637s                            0s                        0.140s                      1.497s                             0s                            0s                  0s                      0s  libmpi_mt.so             PMPI_Scatter                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        scatter.c         0x109100          
constrain                                                                                                                                                                                                                                                                                                                                                                                                                                                                          1.610s                   1.610s                            0s                            0s                      1.610s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  constrain                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]         0xeed550          
apply_dit_dft                                                                                                                                                                                                                                                                                                                                                                                                                                                                      1.488s                   1.488s                            0s                            0s                      1.488s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  apply_dit_dft                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]         0x133eea0         
setup_bonded_threading._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                                                                                   1.409s                   1.409s                            0s                            0s                      1.409s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  setup_bonded_threading._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    [Unknown]         0x17b390          
nbnxn_atomdata_set                                                                                                                                                                                                                                                                                                                                                                                                                                                                 1.342s                   1.342s                            0s                            0s                      1.342s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  nbnxn_atomdata_set(nbnxn_atomdata_t*, nbnxn_search*, t_mdatoms const*, int const*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [Unknown]         0xf726f0          
func@0x9800                                                                                                                                                                                                                                                                                                                                                                                                                                                                        1.339s                   1.339s                            0s                            0s                      1.339s                             0s                            0s                  0s                      0s  libgomp.so.1.0.0         func@0x9800                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         [Unknown]         0x9800            
unwrap_periodic_pmegrid                                                                                                                                                                                                                                                                                                                                                                                                                                                            1.310s                   1.310s                            0s                            0s                      1.310s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  unwrap_periodic_pmegrid(gmx_pme_t*, float*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         [Unknown]         0x205490          
