Function                                                                                                                                                                                                                                                                                                                                                                                                                                                                         CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module                   Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Source File       Start Address     
copy_rvec_to_nbat_real                                                                                                                                                                                                                                                                                                                                                                                                                                                           138.315s                 138.315s                            0s                            0s                    138.315s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  copy_rvec_to_nbat_real(int const*, int, int, float const (*)[3], int, float*, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [Unknown]         0xf6e790          
__memset_sse2                                                                                                                                                                                                                                                                                                                                                                                                                                                                    130.742s                 130.742s                            0s                            0s                    130.742s                             0s                            0s                  0s                      0s  libc-2.17.so             __memset_sse2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]         0x88e40           
do_pairs                                                                                                                                                                                                                                                                                                                                                                                                                                                                         126.993s                 126.993s                            0s                            0s                    126.993s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  do_pairs(int, int, int const*, t_iparams const*, float const (*)[3], float (*)[4], float (*)[3], t_pbc const*, t_graph const*, float const*, float*, t_mdatoms const*, t_forcerec const*, int, gmx_grppairener_t*, int*)                                                                                                                                                                                                                                                                                                                                                                                                                            [Unknown]         0x1801d0          
spread_on_grid._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                                                                                         120.955s                 120.955s                            0s                            0s                    120.955s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  spread_on_grid._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [Unknown]         0x21f180          
update_coords._omp_fn.3                                                                                                                                                                                                                                                                                                                                                                                                                                                          116.644s                 116.644s                            0s                            0s                    116.644s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  update_coords._omp_fn.3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]         0xfd05d0          
do_force_cutsVERLET.isra.42                                                                                                                                                                                                                                                                                                                                                                                                                                                      115.824s                 115.824s                            0s                            0s                    115.824s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  do_force_cutsVERLET(_IO_FILE*, t_commrec*, t_inputrec*, long, t_nrnb*, gmx_wallcycle*, gmx_localtop_t*, gmx_groups_t*, float (*)[3], gmx::ArrayRef<gmx::BasicVector<float>>, history_t*, gmx::ArrayRef<gmx::BasicVector<float>>, float (*)[3], t_mdatoms*, gmx_enerdata_t*, t_fcdata*, float*, t_graph*, t_forcerec*, interaction_const_t*, gmx_vsite_t*, float*, double, gmx_edsam*, int, int, DdOpenBalanceRegionBeforeForceComputation, DdCloseBalanceRegionAfterForceComputation).isra.42                                                                                                                                                       [Unknown]         0xfb8010          
urey_bradley_noener_simd                                                                                                                                                                                                                                                                                                                                                                                                                                                         104.678s                 104.678s                            0s                            0s                    104.678s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  urey_bradley_noener_simd(int, int const*, t_iparams const*, float const (*)[3], float (*)[4], t_pbc const*, t_graph const*, float, t_mdatoms const*, t_fcdata*, int*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]         0x169db0          
pdihs_noener_simd                                                                                                                                                                                                                                                                                                                                                                                                                                                                103.722s                 103.722s                            0s                            0s                    103.722s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  pdihs_noener_simd(int, int const*, t_iparams const*, float const (*)[3], float (*)[4], t_pbc const*, t_graph const*, float, t_mdatoms const*, t_fcdata*, int*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [Unknown]         0x16c630          
dih_angle_simd                                                                                                                                                                                                                                                                                                                                                                                                                                                                   103.684s                 103.684s                            0s                            0s                    103.684s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  dih_angle_simd(float const (*)[3], int const*, int const*, int const*, int const*, float const*, gmx::SimdFloat*, gmx::SimdFloat*, gmx::SimdFloat*, gmx::SimdFloat*, gmx::SimdFloat*, gmx::SimdFloat*, gmx::SimdFloat*, gmx::SimdFloat*, gmx::SimdFloat*, gmx::SimdFloat*, gmx::SimdFloat*)                                                                                                                                                                                                                                                                                                                                                         [Unknown]         0x163c60          
hc2cfdftv_16                                                                                                                                                                                                                                                                                                                                                                                                                                                                      98.465s                  98.465s                            0s                        0.010s                     98.455s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  hc2cfdftv_16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]         0x13306f0         
n1fv_13                                                                                                                                                                                                                                                                                                                                                                                                                                                                           96.629s                  96.629s                            0s                        0.020s                     96.609s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  n1fv_13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]         0x12150b0         
hc2cbdftv_16                                                                                                                                                                                                                                                                                                                                                                                                                                                                      95.682s                  95.682s                            0s                            0s                     95.682s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  hc2cbdftv_16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [Unknown]         0x132c7c0         
n1bv_13                                                                                                                                                                                                                                                                                                                                                                                                                                                                           90.878s                  90.878s                            0s                            0s                     90.878s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  n1bv_13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]         0x1205d50         
do_redist_pos_coeffs                                                                                                                                                                                                                                                                                                                                                                                                                                                              83.757s                  83.757s                            0s                            0s                     83.757s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  do_redist_pos_coeffs(gmx_pme_t*, t_commrec*, int, int, int, float (*)[3], float*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [Unknown]         0x212690          
copy_fftgrid_to_pmegrid                                                                                                                                                                                                                                                                                                                                                                                                                                                           82.055s                  82.055s                            0s                            0s                     82.055s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  copy_fftgrid_to_pmegrid(gmx_pme_t*, float const*, float*, int, int, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [Unknown]         0x203af0          
pme_calc_pidx_wrapper._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                                                                                   79.160s                  79.160s                            0s                            0s                     79.160s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  pme_calc_pidx_wrapper._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [Unknown]         0x2110b0          
copy_pmegrid_to_fftgrid                                                                                                                                                                                                                                                                                                                                                                                                                                                           72.783s                  72.783s                            0s                            0s                     72.783s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  copy_pmegrid_to_fftgrid(gmx_pme_t const*, float*, float*, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [Unknown]         0x203530          
n2fv_14                                                                                                                                                                                                                                                                                                                                                                                                                                                                           72.593s                  72.593s                            0s                            0s                     72.593s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  n2fv_14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]         0x1291fe0         
